City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lihue,21.9789,-159.3672,28.77,61,75,8.23,US,1728520260
1,queenstown,-31.8976,26.8753,17.29,39,31,2.06,ZA,1728520349
2,waitangi,-43.9535,-176.5597,10.46,88,61,8.49,NZ,1728520350
3,le port,-20.9373,55.2919,21.98,86,52,1.08,RE,1728520351
4,kurumkan,54.3,110.3,-1.34,91,100,2.06,RU,1728520352
5,adamstown,-25.066,-130.1015,20.57,79,96,9.63,PN,1728520353
6,whitehorse,60.7161,-135.0538,6.43,72,75,5.14,CA,1728520355
7,saurimo,-9.6608,20.3916,16.71,93,94,0.81,AO,1728520356
8,port-aux-francais,-49.35,70.2167,0.85,48,100,9.55,TF,1728520357
9,margaret river,-33.95,115.0667,14.57,52,97,4.56,AU,1728520358
10,samamiya,11.3487,9.6399,24.88,70,97,5.1,NG,1728520359
11,juneau,58.3019,-134.4197,8.0,95,100,5.14,US,1728520296
12,susuman,62.7833,148.1667,-12.32,88,80,0.99,RU,1728520361
13,coronel dorrego,-38.7187,-61.2873,13.0,40,100,4.46,AR,1728520362
14,iqaluit,63.7506,-68.5145,1.85,87,75,3.09,CA,1728520166
15,beli,7.8587,10.9719,22.72,96,84,0.86,NG,1728520364
16,ourinhos,-22.9789,-49.8706,21.88,62,96,4.68,BR,1728520197
17,grytviken,-54.2811,-36.5092,-1.89,96,96,0.52,GS,1728520366
18,birao,10.2849,22.7882,21.4,95,100,1.74,CF,1728520367
19,george town,5.4112,100.3354,26.96,87,20,3.13,MY,1728520369
20,xiantao,30.3833,113.4,24.12,41,100,0.61,CN,1728520370
21,bubaque,11.2833,-15.8333,26.8,80,100,4.62,GW,1728520372
22,mora,11.0461,14.1401,24.6,73,61,1.49,CM,1728520373
23,myrina,39.8797,25.0742,16.58,94,20,0.0,GR,1728520374
24,puerto armuelles,8.2833,-82.8667,25.61,87,100,3.13,PA,1728520375
25,bilibino,68.0546,166.4372,-5.57,86,100,2.3,RU,1728520376
26,kolonia,50.9333,6.95,15.25,95,75,3.6,DE,1728520186
27,ermoupolis,37.4423,24.9425,22.39,66,6,2.06,GR,1728520378
28,mayqayyng,51.4625,75.7986,8.64,78,100,5.42,KZ,1728520379
29,luanda,-8.8368,13.2343,25.0,78,75,1.54,AO,1728520110
30,chinde,26.8212,87.7095,22.3,85,76,1.24,NP,1728520382
31,dudinka,69.4058,86.1778,-8.59,89,83,8.34,RU,1728520336
32,fort bragg,35.139,-79.006,17.73,81,0,0.0,US,1728520384
33,hawaiian paradise park,19.5933,-154.9731,29.29,68,0,5.14,US,1728520385
34,tiksi,71.6872,128.8694,-5.35,77,100,4.6,RU,1728520370
35,gbadolite,4.2833,21.0167,19.8,97,100,0.65,CD,1728520388
36,qamdo,31.1667,97.2333,6.82,57,0,1.41,CN,1728520389
37,blackmans bay,-43.0167,147.3167,15.07,74,82,7.89,AU,1728520390
38,jamestown,42.097,-79.2353,11.12,66,75,7.2,US,1728520364
39,hugo,45.16,-92.9933,16.96,59,0,2.06,US,1728520392
40,afaahiti,-17.75,-149.2833,23.37,86,100,9.28,PF,1728520393
41,badger,64.8,-147.5333,0.93,87,100,2.57,US,1728520394
42,tazovsky,67.4667,78.7,-4.33,81,100,10.9,RU,1728520395
43,ilulissat,69.2167,-51.1,1.01,93,100,0.0,GL,1728520292
44,kodiak,57.79,-152.4072,7.73,36,0,5.66,US,1728520397
45,zabrat,40.4761,49.9416,18.79,88,20,3.09,AZ,1728520400
46,sitka,57.0531,-135.33,9.94,76,75,4.12,US,1728520366
47,ust-nera,64.5667,143.2,-6.17,78,46,1.61,RU,1728520402
48,villa ojo de agua,-29.5,-63.6938,11.12,95,100,9.11,AR,1728520403
49,albany,42.6001,-73.9662,8.69,72,69,0.89,US,1728520315
50,tieli,46.95,128.05,14.15,53,100,6.56,CN,1728520405
51,olonkinbyen,70.9221,-8.7187,-0.27,67,9,9.34,SJ,1728520406
52,bethel,41.3712,-73.414,12.46,64,75,1.54,US,1728520408
